Repository,#queries_text_only,#queries_text+img,MRR_Text Only,MRR_Text+Image,MRR_Diff,MRR_RI%,MAP_Text Only,MAP_Text+Image,MAP_Diff,MAP_RI%,Recall@1_Text Only,Recall@1_Text+Image,Recall@1_Diff,Recall@5_Text Only,Recall@5_Text+Image,Recall@5_Diff,Recall@10_Text Only,Recall@10_Text+Image,Recall@10_Diff
Aegis,73,10,0.1023,0.1162,0.0138,13.53,0.0744,0.0954,0.0210,28.19,0.0308,0.0000,-0.0308,0.0354,0.2167,0.1813,0.1463,0.2417,0.0953
Anki-Android,154,36,0.0465,0.0258,-0.0207,-44.55,0.0458,0.0248,-0.0210,-45.77,0.0260,0.0000,-0.0260,0.0519,0.0278,-0.0242,0.0682,0.0417,-0.0265
AntennaPod,236,34,0.0675,0.1021,0.0346,51.20,0.0547,0.0934,0.0387,70.76,0.0233,0.0588,0.0355,0.0508,0.1029,0.0521,0.0894,0.1176,0.0283
KISS,68,16,0.1476,0.1067,-0.0408,-27.67,0.1163,0.0753,-0.0411,-35.30,0.0319,0.0312,-0.0006,0.1843,0.0938,-0.0906,0.2510,0.1562,-0.0947
MaterialFiles,66,11,0.1199,0.0537,-0.0662,-55.21,0.1176,0.0523,-0.0653,-55.56,0.0581,0.0000,-0.0581,0.1288,0.0455,-0.0833,0.1717,0.1818,0.0101
Omni-Notes,12,0,0.1134,0.0000,-0.1134,-100.00,0.1130,0.0000,-0.1130,-100.00,0.0833,0.0000,-0.0833,0.0833,0.0000,-0.0833,0.1667,0.0000,-0.1667
RetroMusicPlayer,54,7,0.1921,0.1797,-0.0124,-6.47,0.1150,0.0528,-0.0622,-54.11,0.0622,0.0130,-0.0492,0.0977,0.0130,-0.0847,0.1639,0.1082,-0.0556
Slide,73,11,0.1846,0.1443,-0.0403,-21.83,0.1666,0.1097,-0.0569,-34.18,0.0311,0.0455,0.0144,0.2574,0.1364,-0.1210,0.3285,0.1364,-0.1922
StreetComplete,151,34,0.0536,0.0217,-0.0319,-59.44,0.0469,0.0212,-0.0257,-54.82,0.0221,0.0000,-0.0221,0.0552,0.0294,-0.0258,0.0872,0.0294,-0.0578
UserLAnd,32,5,0.2542,0.4328,0.1786,70.27,0.2547,0.4308,0.1760,69.11,0.1875,0.4000,0.2125,0.2812,0.4000,0.1188,0.3594,0.5000,0.1406
VinylMusicPlayer,20,1,0.1320,0.5000,0.3680,278.82,0.1233,0.2672,0.1439,116.69,0.0500,0.0000,-0.0500,0.1250,0.5000,0.3750,0.1750,0.5000,0.3250
andOTP,16,1,0.0658,0.0526,-0.0131,-19.97,0.0565,0.0634,0.0069,12.21,0.0000,0.0000,0.0000,0.0781,0.0000,-0.0781,0.1406,0.0000,-0.1406
android,28,3,0.0411,0.0302,-0.0110,-26.63,0.0376,0.0302,-0.0075,-19.82,0.0000,0.0000,0.0000,0.0357,0.0000,-0.0357,0.0833,0.0000,-0.0833
anglers-log,18,1,0.2381,0.0116,-0.2265,-95.12,0.2380,0.0116,-0.2264,-95.11,0.1667,0.0000,-0.1667,0.3333,0.0000,-0.3333,0.3889,0.0000,-0.3889
apps-android-commons,64,22,0.1240,0.1228,-0.0012,-0.98,0.1240,0.1228,-0.0012,-0.96,0.0859,0.0909,0.0050,0.1250,0.1364,0.0114,0.2031,0.1818,-0.0213
cgeo,337,38,0.0536,0.0361,-0.0175,-32.69,0.0498,0.0324,-0.0175,-35.04,0.0267,0.0000,-0.0267,0.0534,0.0614,0.0080,0.0841,0.0746,-0.0095
collect,33,7,0.1416,0.0321,-0.1095,-77.32,0.1405,0.0322,-0.1083,-77.08,0.1212,0.0000,-0.1212,0.1212,0.0000,-0.1212,0.1515,0.1429,-0.0087
florisboard,113,20,0.0955,0.0928,-0.0027,-2.87,0.0796,0.0725,-0.0071,-8.93,0.0428,0.0500,0.0072,0.0806,0.0600,-0.0206,0.1118,0.0600,-0.0518
focus-android,112,21,0.0369,0.0664,0.0295,79.85,0.0315,0.0396,0.0081,25.72,0.0134,0.0238,0.0104,0.0312,0.0238,-0.0074,0.0402,0.0714,0.0312
iNaturalistAndroid,11,4,0.5082,0.2610,-0.2472,-48.65,0.4779,0.2610,-0.2169,-45.39,0.3636,0.2500,-0.1136,0.5000,0.2500,-0.2500,0.5455,0.2500,-0.2955
kiwix-android,81,21,0.0722,0.1044,0.0322,44.51,0.0684,0.1047,0.0363,52.98,0.0247,0.0952,0.0705,0.0926,0.0952,0.0026,0.1481,0.0952,-0.0529
materialistic,41,3,0.1207,0.0076,-0.1130,-93.68,0.1082,0.0076,-0.1006,-92.95,0.0732,0.0000,-0.0732,0.1179,0.0000,-0.1179,0.1179,0.0000,-0.1179
mobile-wallet,12,4,0.0788,0.0894,0.0106,13.43,0.0788,0.0894,0.0106,13.43,0.0000,0.0000,0.0000,0.1667,0.2500,0.0833,0.1667,0.2500,0.0833
openfoodfacts-androidapp,40,10,0.2431,0.0205,-0.2226,-91.57,0.2476,0.0295,-0.2181,-88.07,0.1708,0.0000,-0.1708,0.2583,0.0000,-0.2583,0.3417,0.0000,-0.3417
osmdroid,14,0,0.1116,0.0000,-0.1116,-100.00,0.1126,0.0000,-0.1126,-100.00,0.0714,0.0000,-0.0714,0.0714,0.0000,-0.0714,0.2143,0.0000,-0.2143
phimpme-android,14,5,0.0808,0.0308,-0.0500,-61.86,0.0631,0.0312,-0.0319,-50.52,0.0000,0.0000,0.0000,0.1012,0.0000,-0.1012,0.2560,0.2000,-0.0560
qksms,90,11,0.0505,0.0180,-0.0325,-64.34,0.0428,0.0143,-0.0285,-66.52,0.0056,0.0000,-0.0056,0.0667,0.0000,-0.0667,0.1000,0.0000,-0.1000
simplenote-android,7,1,0.1054,0.0222,-0.0832,-78.92,0.1054,0.0222,-0.0832,-78.92,0.0000,0.0000,0.0000,0.1429,0.0000,-0.1429,0.4286,0.0000,-0.4286
thunderbird-android,353,48,0.0508,0.0563,0.0055,10.73,0.0424,0.0445,0.0021,4.91,0.0212,0.0312,0.0100,0.0392,0.0312,-0.0079,0.0687,0.0312,-0.0374
Overall,2323,385,0.0851,0.0746,-0.0105,-12.34,0.0752,0.0637,-0.0115,-15.29,0.0376,0.0340,-0.0036,0.0830,0.0683,-0.0147,0.1249,0.0927,-0.0322
Average,2323,385,0.1253,0.0944,-0.0308,-24.63,0.1149,0.0770,-0.0380,-33.03,0.0618,0.0376,-0.0243,0.1299,0.0853,-0.0446,0.1930,0.1162,-0.0768
